Freq,eta_dss_avrg,eta_surf_avrg,eta_track_avrg,Tatm_avrg,Trcvr,Tau0,EST0,ATTEN_Avrg,eta_track_Mustang,Trcvr_Mustang,EST0_Mustang,ATTEN_Mustang
0.0000,0.9750,1.0000,1.0000,270.4784,8.0000,0.0066,15.9000,1.0075, , , , 
1.0000,0.9744,1.0000,0.9998,270.4784,8.0000,0.0066,15.9000,1.0075, , , , 
2.0000,0.9724,0.9998,0.9999,270.5000,12.0000,0.0066,19.9000,1.0076, , , , 
3.0000,0.9690,0.9996,0.9999,268.5000,12.0000,0.0070,20.0000,1.0081, , , , 
4.0000,0.9639,0.9992,0.9998,266.7000,14.8000,0.0073,22.9000,1.0088, , , , 
5.0000,0.9568,0.9988,0.9996,255.2000,7.4000,0.0078,15.4000,1.0091, , , , 
6.0000,0.9474,0.9983,0.9994,255.3000,8.6000,0.0080,16.8000,1.0097, , , , 
7.0000,0.9354,0.9976,0.9992,255.5000,12.0000,0.0082,20.2000,1.0107, , , , 
8.0000,0.9205,0.9969,0.9990,255.6000,21.6000,0.0085,30.0000,1.0128, , , , 
9.0000,0.9027,0.9961,0.9988,255.8000,12.8000,0.0087,21.2000,1.0126, , , , 
10.0000,0.8820,0.9952,0.9985,256.0000,10.9000,0.0091,19.4000,1.0136, , , , 
11.0000,0.8584,0.9942,0.9981,256.8000,15.2000,0.0094,23.8000,1.0159, , , , 
12.0000,0.8324,0.9931,0.9978,248.9000,21.7000,0.0101,30.5000,1.0203, , , , 
13.0000,0.8043,0.9919,0.9974,249.0000,12.5000,0.0105,21.2000,1.0193, , , , 
14.0000,0.7748,0.9906,0.9970,249.1000,10.3000,0.0110,19.2000,1.0205, , , , 
15.0000,0.7446,0.9892,0.9965,249.2000,8.9000,0.0116,17.9000,1.0220, , , , 
16.0000,0.7145,0.9878,0.9961,246.1000,12.0000,0.0124,21.3000,1.0266, , , , 
17.0000,0.6854,0.9862,0.9956,246.2000,12.0000,0.0131,21.4000,1.0294, , , , 
18.0000,0.6581,0.9846,0.9950,246.3000,41.7000,0.0139,51.8000,1.0531, , , , 
19.0000,0.6334,0.9829,0.9945,246.5000,19.7000,0.0150,29.7000,1.0419, , , , 
20.0000,0.6121,0.9810,0.9939,246.7000,17.5000,0.0165,27.9000,1.0440, , , , 
21.0000,0.5945,0.9791,0.9932,246.9000,16.2000,0.0186,27.2000,1.0473, , , , 
22.0000,0.5812,0.9772,0.9926,245.2000,16.6000,0.0213,28.3000,1.0527, , , , 
23.0000,0.5723,0.9751,0.9919,246.9000,20.9000,0.0219,32.9000,1.0585, , , , 
24.0000,0.5679,0.9729,0.9912,247.0000,20.0000,0.0216,31.9000,1.0576, , , , 
25.0000,0.5678,0.9707,0.9904,246.8000,24.3000,0.0217,36.3000,1.0618, , , , 
26.0000,0.5717,0.9684,0.9897,246.5000,25.3000,0.0222,37.4000,1.0626, , , , 
27.0000,0.5792,0.9660,0.9889,246.4000,16.6000,0.0231,28.8000,1.0542, , , , 
28.0000,0.5896,0.9635,0.9880,246.3000,18.8000,0.0242,31.3000,1.0561, , , , 
29.0000,0.6024,0.9610,0.9872,246.2000,12.7000,0.0256,25.5000,1.0507, , , , 
30.0000,0.6168,0.9584,0.9863,246.1000,11.0000,0.0273,24.2000,1.0498, , , , 
31.0000,0.6322,0.9557,0.9854,246.1000,10.1000,0.0292,23.7000,1.0498, , , , 
32.0000,0.6479,0.9529,0.9844,246.1000,16.6000,0.0313,31.0000,1.0555, , , , 
33.0000,0.6632,0.9501,0.9835,249.5000,19.4000,0.0333,34.6000,1.0576, , , , 
34.0000,0.6777,0.9472,0.9825,249.4000,12.5000,0.0359,28.2000,1.0548, , , , 
35.0000,0.6909,0.9442,0.9814,249.4000,25.7000,0.0390,42.7000,1.0641, , , , 
36.0000,0.7023,0.9411,0.9804,249.4000,24.1000,0.0424,42.0000,1.0655, , , , 
37.0000,0.7116,0.9380,0.9793,249.3000,34.9000,0.0464,54.6000,1.0734, , , , 
38.0000,0.7186,0.9349,0.9782,249.3000,35.1000,0.0509,56.1000,1.0772, , , , 
39.0000,0.7231,0.9317,0.9771,249.3000,31.1000,0.0562,53.4000,1.0808, , , , 
40.0000,0.7249,0.9284,0.9759,249.3000,46.6000,0.0624,71.8000,1.0927, , , , 
41.0000,0.7242,0.9250,0.9747,249.4000,38.2000,0.0696,65.2000,1.0981, , , , 
42.0000,0.7208,0.9216,0.9735,249.4000,33.0000,0.0783,62.3000,1.1067, , , , 
43.0000,0.7148,0.9182,0.9722,249.4000,36.3000,0.0886,69.1000,1.1208, , , , 
44.0000,0.7065,0.9147,0.9710,249.5000,37.4000,0.1013,74.3000,1.1377, , , , 
45.0000,0.6959,0.9111,0.9697,257.2000,43.0000,0.1140,85.6000,1.1565, , , , 
46.0000,0.6835,0.9075,0.9684,256.9000,39.1000,0.1329,87.6000,1.1814, , , , 
47.0000,0.6695,0.9039,0.9670,257.0000,47.2000,0.1570,105.4000,1.2189, , , , 
48.0000,0.6545,0.9002,0.9657,257.1000,48.8000,0.1890,119.0000,1.2668, , , , 
49.0000,0.6388,0.8965,0.9643,257.3000,64.8000,0.2332,156.1000,1.3410, , , , 
50.0000,0.6232,0.8927,0.9628,257.6000,113.3000,0.2983,249.2000,1.4638, , , , 
51.0000, , , , , , , , , , , , 
52.0000, , , , , , , , , , , , 
53.0000, , , , , , , , , , , , 
54.0000, , , , , , , , , , , , 
55.0000, , , , , , , , , , , , 
56.0000, , , , , , , , , , , , 
57.0000, , , , , , , , , , , , 
58.0000, , , , , , , , , , , , 
59.0000, , , , , , , , , , , , 
60.0000, , , , , , , , , , , , 
61.0000, , , , , , , , , , , , 
62.0000, , , , , , , , , , , , 
63.0000, , , , , , , , , , , , 
64.0000, , , , , , , , , , , , 
65.0000, , , , , , , , , , , , 
66.0000, , , , , , , , , , , , 
67.0000, , , , , , , , , , , , 
68.0000,0.5000,1.0000,1.0000,258.1000,136.0000,0.4100,343.3000,1.8649, , , , 
69.0000,0.5000,1.0000,1.0000,258.1000,130.5000,0.3596,306.0000,1.7564, , , , 
70.0000,0.5000,1.0000,1.0000,258.1000,125.0000,0.3092,270.9000,1.6530, , , , 
71.0000,0.5000,1.0000,1.0000,260.4000,116.0000,0.2587,234.0000,1.5507, , , , 
72.0000,0.5000,1.0000,1.0000,262.7000,107.0000,0.2082,199.3000,1.4529, , , , 
73.0000,0.5000,1.0000,1.0000,256.6000,97.0000,0.1835,174.8000,1.4045, , , , 
74.0000,0.5000,1.0000,1.0000,250.5000,87.0000,0.1588,151.6000,1.3565, , , , 
75.0000,0.5000,1.0000,1.0000,250.5000,78.0000,0.1414,134.3000,1.3197, , , , 
76.0000,0.5000,1.0000,1.0000,250.5000,69.0000,0.1239,117.5000,1.2829, , , , 
77.0000,0.5000,1.0000,1.0000,250.6000,64.0000,0.1124,107.8000,1.2596, , , , 
78.0000,0.5000,1.0000,1.0000,250.7000,59.0000,0.1010,98.2000,1.2364, , , , 
79.0000,0.5000,1.0000,1.0000,248.9000,58.0000,0.0935,94.4000,1.2241, , , , 
80.0000,0.5000,1.0000,1.0000,247.1000,57.0000,0.0859,90.5000,1.2118, , , , 
81.0000,0.5000,1.0000,1.0000,247.1000,60.0000,0.0799,91.8000,1.2057, , , , 
82.0000,0.5000,1.0000,1.0000,247.2000,63.0000,0.0738,93.0000,1.1996, , , , 
83.0000,0.5000,1.0000,1.0000,247.2000,68.5000,0.0694,97.4000,1.1984, , , , 
84.0000,0.5000,1.0000,1.0000,247.3000,74.0000,0.0650,101.8000,1.1972, , , , 
85.0000,0.5000,1.0000,1.0000,247.3000,80.0000,0.0617,107.0000,1.1978, , , , 
86.0000,0.5000,1.0000,1.0000,247.4000,86.0000,0.0584,112.2000,1.1983,1.0000,120.0000,148.3000,1.2260
87.0000,0.5000,1.0000,1.0000,247.4000,90.0000,0.0560,115.6000,1.1982,1.0000,120.0000,147.3000,1.2223
88.0000,0.5000,1.0000,1.0000,247.5000,94.0000,0.0535,118.9000,1.1980,1.0000,120.0000,146.4000,1.2186
89.0000,0.5000,1.0000,1.0000,247.5000,95.0000,0.0518,119.4000,1.1962,1.0000,120.0000,145.7000,1.2160
90.0000,0.5000,1.0000,1.0000,247.6000,96.0000,0.0500,119.8000,1.1944,1.0000,120.0000,145.0000,1.2133
91.0000,0.5000,1.0000,1.0000,247.6000,95.0000,0.0488,118.3000,1.1917,1.0000,120.0000,144.5000,1.2115
92.0000,0.5000,1.0000,1.0000,247.6000,94.0000,0.0475,116.8000,1.1890,1.0000,120.0000,144.0000,1.2096