f_GHz,eta_dss_avrg,eta_surf_avrg,ETA_TRACK_AVRG,Tatm_avrg,Trcvr,Tau0,EST0,ATTEN_Avrg,Eta_track_Mustang,Trcvr_Mustang,EST0_Mustang,ATTEN_MUSTANG_1
0.0000,0.9750,1.0000,1.0000,270.4784,12.0000,0.0066,19.8904,1.0075, , , , 
1.0000,0.9744,1.0000,0.9998,270.4784,12.0000,0.0066,19.8904,1.0075, , , , 
2.0000,0.9724,1.0000,0.9991,270.4784,12.0000,0.0066,19.8904,1.0076, , , , 
3.0000,0.9690,0.9999,0.9980,268.4758,12.0000,0.0070,19.9913,1.0081, , , , 
4.0000,0.9639,0.9998,0.9965,266.7160,14.8310,0.0073,22.9158,1.0087, , , , 
5.0000,0.9568,0.9997,0.9948,255.2197,7.3600,0.0078,15.4396,1.0090, , , , 
6.0000,0.9474,0.9996,0.9930,255.3376,8.6371,0.0080,16.7815,1.0095, , , , 
7.0000,0.9354,0.9994,0.9912,255.4663,12.0000,0.0082,20.2269,1.0104, , , , 
8.0000,0.9205,0.9992,0.9895,255.6101,21.5643,0.0085,29.9559,1.0124, , , , 
9.0000,0.9027,0.9990,0.9878,255.7721,12.8490,0.0087,21.2224,1.0123, , , , 
10.0000,0.8820,0.9988,0.9862,255.9557,10.9433,0.0091,19.4106,1.0132, , , , 
11.0000,0.8584,0.9985,0.9846,256.8462,15.1548,0.0094,23.7520,1.0155, , , , 
12.0000,0.8324,0.9983,0.9832,248.9089,21.6919,0.0101,30.4693,1.0197, , , , 
13.0000,0.8043,0.9980,0.9819,248.9929,12.4538,0.0105,21.2451,1.0189, , , , 
14.0000,0.7748,0.9976,0.9807,249.0979,10.3395,0.0110,19.2422,1.0201, , , , 
15.0000,0.7446,0.9973,0.9795,249.2334,8.8671,0.0116,17.9135,1.0216, , , , 
16.0000,0.7145,0.9969,0.9784,246.0602,12.0000,0.0124,21.2573,1.0262, , , , 
17.0000,0.6854,0.9965,0.9774,246.1506,12.0000,0.0131,21.4436,1.0290, , , , 
18.0000,0.6581,0.9961,0.9765,246.2828,41.6933,0.0139,51.7661,1.0524, , , , 
19.0000,0.6334,0.9956,0.9756,246.4765,19.6543,0.0150,29.7217,1.0414, , , , 
20.0000,0.6121,0.9952,0.9748,246.7372,17.4862,0.0165,27.9320,1.0437, , , , 
21.0000,0.5945,0.9947,0.9740,246.9406,16.2033,0.0186,27.1999,1.0470, , , , 
22.0000,0.5812,0.9942,0.9733,245.1605,16.5571,0.0213,28.2561,1.0525, , , , 
23.0000,0.5723,0.9936,0.9726,246.8648,20.8590,0.0219,32.8532,1.0585, , , , 
24.0000,0.5679,0.9930,0.9720,246.9869,19.9633,0.0216,31.8577,1.0577, , , , 
25.0000,0.5678,0.9925,0.9714,246.7562,24.2848,0.0217,36.2965,1.0621, , , , 
26.0000,0.5717,0.9919,0.9708,246.5420,25.2750,0.0222,37.4442,1.0630, , , , 
27.0000,0.5792,0.9912,0.9703,246.3857,16.6000,0.0231,28.8158,1.0546, , , , 
28.0000,0.5896,0.9906,0.9698,246.2770,18.7700,0.0242,31.3359,1.0568, , , , 
29.0000,0.6024,0.9899,0.9694,246.2015,12.7000,0.0256,25.4912,1.0514, , , , 
30.0000,0.6168,0.9892,0.9689,246.1487,11.0050,0.0273,24.2050,1.0506, , , , 
31.0000,0.6322,0.9885,0.9685,246.1115,10.0700,0.0292,23.7497,1.0508, , , , 
32.0000,0.6479,0.9877,0.9682,246.0855,16.5900,0.0313,31.0372,1.0569, , , , 
33.0000,0.6632,0.9869,0.9679,249.4510,19.3850,0.0333,34.5895,1.0593, , , , 
34.0000,0.6777,0.9861,0.9676,249.4067,12.4750,0.0359,28.1570,1.0564, , , , 
35.0000,0.6909,0.9853,0.9673,249.3740,25.6850,0.0390,42.7435,1.0666, , , , 
36.0000,0.7023,0.9845,0.9670,249.3506,24.0600,0.0424,42.0318,1.0683, , , , 
37.0000,0.7116,0.9836,0.9668,249.3354,34.9250,0.0464,54.5680,1.0771, , , , 
38.0000,0.7186,0.9828,0.9666,249.3278,35.1200,0.0509,56.1299,1.0815, , , , 
39.0000,0.7231,0.9819,0.9664,249.3276,31.0650,0.0562,53.4477,1.0853, , , , 
40.0000,0.7249,0.9809,0.9663,249.3353,46.6004,0.0624,71.8483,1.0989, , , , 
41.0000,0.7242,0.9800,0.9662,249.3515,38.2475,0.0696,65.1937,1.1043, , , , 
42.0000,0.7208,0.9790,0.9661,249.3778,33.0467,0.0783,62.2937,1.1132, , , , 
43.0000,0.7148,0.9780,0.9660,249.4162,36.3273,0.0886,69.0775,1.1284, , , , 
44.0000,0.7065,0.9770,0.9660,249.4695,37.4074,0.1013,74.3108,1.1466, , , , 
45.0000,0.6959,0.9760,0.9660,257.1535,42.9774,0.1140,85.5811,1.1670, , , , 
46.0000,0.6835,0.9749,0.9660,256.9212,39.0932,0.1329,87.5938,1.1931, , , , 
47.0000,0.6695,0.9739,0.9661,256.9696,47.1654,0.1570,105.3770,1.2336, , , , 
48.0000,0.6545,0.9728,0.9661,257.0716,48.7833,0.1890,119.0378,1.2845, , , , 
49.0000,0.6388,0.9717,0.9663,257.2581,64.7583,0.2332,156.1187,1.3646, , , , 
50.0000,0.6232,0.9705,0.9664,257.5881,113.2944,0.2983,249.2432,1.4987, , , , 
51.0000, , , , , , , , , , , , 
52.0000, , , , , , , , , , , , 
53.0000, , , , , , , , , , , , 
54.0000, , , , , , , , , , , , 
55.0000, , , , , , , , , , , , 
56.0000, , , , , , , , , , , , 
57.0000, , , , , , , , , , , , 
58.0000, , , , , , , , , , , , 
59.0000, , , , , , , , , , , , 
60.0000, , , , , , , , , , , , 
61.0000, , , , , , , , , , , , 
62.0000, , , , , , , , , , , , 
63.0000, , , , , , , , , , , , 
64.0000, , , , , , , , , , , , 
65.0000, , , , , , , , , , , , 
66.0000, , , , , , , , , , , , 
67.0000, , , , , , , , , , , , 
68.0000, , , , , , , , , , , , 
69.0000, , , , , , , , , , , , 
70.0000,0.5000,1.0000,0.9708,258.0992,75.0000,0.3092,202.7804,1.5997, , , , 
71.0000,0.5000,1.0000,0.9712,260.3906,75.0000,0.2587,180.9082,1.5057, , , , 
72.0000,0.5000,1.0000,0.9716,262.6819,75.0000,0.2082,159.8540,1.4163, , , , 
73.0000,0.5000,1.0000,0.9719,256.5746,75.0000,0.1835,148.3883,1.3763, , , , 
74.0000,0.5000,1.0000,0.9723,250.4673,75.0000,0.1588,137.5304,1.3373, , , , 
75.0000,0.5000,1.0000,0.9727,250.4974,75.0000,0.1414,130.8750,1.3091, , , , 
76.0000,0.5000,1.0000,0.9731,250.5274,75.0000,0.1239,124.3336,1.2814, , , , 
77.0000,0.5000,1.0000,0.9736,250.5958,75.0000,0.1124,120.1083,1.2635, , , , 
78.0000,0.5000,1.0000,0.9740,250.6641,75.0000,0.1010,115.9293,1.2459, , , , 
79.0000,0.5000,1.0000,0.9744,248.8794,75.0000,0.0935,113.0197,1.2349, , , , 
80.0000,0.5000,1.0000,0.9749,247.0948,75.0000,0.0859,110.1601,1.2240, , , , 
81.0000,0.5000,1.0000,0.9754,247.1411,75.0000,0.0799,108.0272,1.2149, , , , 
82.0000,0.5000,1.0000,0.9759,247.1873,75.0000,0.0738,105.9066,1.2059, , , , 
83.0000,0.5000,1.0000,0.9763,247.2375,75.0000,0.0694,104.3732,1.1994, , , , 
84.0000,0.5000,1.0000,0.9768,247.2877,75.0000,0.0650,102.8460,1.1929, , , , 
85.0000,0.5000,1.0000,0.9774,247.3384,75.0000,0.0617,100.0000,1.1808, , , , 
86.0000,0.5000,1.0000,0.9800,247.3892,75.0000,0.0584,99.0000,1.1770,0.8912,120.0000,148.2748,1.1943
87.0000,0.5000,1.0000,0.9800,247.4376,75.0000,0.0560,99.0000,1.1770,0.8912,120.0000,147.3168,1.1908
88.0000,0.5000,1.0000,0.9800,247.4860,75.0000,0.0535,98.0000,1.1727,0.8911,120.0000,146.3608,1.1873
89.0000,0.5000,1.0000,0.9800,247.5291,75.0000,0.0517,98.0000,1.1726,0.8911,120.0000,145.6797,1.1848
90.0000,0.5000,1.0000,0.9800,247.5722,75.0000,0.0500,98.0000,1.1726,0.8911,120.0000,144.9996,1.1824
91.0000,0.5000,1.0000,0.9800,247.6071,75.0000,0.0488,97.0000,1.1683,0.8911,120.0000,144.5147,1.1806
92.0000,0.5000,1.0000,0.9800,247.6420,75.0000,0.0475,97.0000,1.1683,0.8911,120.0000,144.0303,1.1788
93.0000,0.5000,1.0000,0.9819,247.6657,75.0000,0.0468,97.0000,1.1687, , , , 
94.0000,0.5000,1.0000,0.9825,247.6894,75.0000,0.0460,96.3316,1.1659, , , , 
95.0000,0.5000,1.0000,0.9831,247.6989,75.0000,0.0457,96.2298,1.1656, , , , 
96.0000,0.5000,1.0000,0.9838,247.7084,75.0000,0.0454,96.1280,1.1653, , , , 
97.0000,0.5000,1.0000,0.9844,247.7005,75.0000,0.0456,96.1787,1.1656, , , , 
98.0000,0.5000,1.0000,0.9851,247.6927,75.0000,0.0457,96.2295,1.1660, , , , 
99.0000,0.5000,1.0000,0.9857,247.6644,75.0000,0.0464,96.4669,1.1672, , , , 
100.0000,0.5000,1.0000,0.9864,247.6361,75.0000,0.0471,96.7044,1.1684, , , , 
101.0000,0.5000,1.0000,0.9871,247.5846,75.0000,0.0485,97.1800,1.1706, , , , 
102.0000,0.5000,1.0000,0.9878,247.5331,75.0000,0.0499,97.6562,1.1728, , , , 
103.0000,0.5000,1.0000,0.9885,247.4561,75.0000,0.0522,98.4400,1.1764, , , , 
104.0000,0.5000,1.0000,0.9893,247.3790,75.0000,0.0545,99.2253,1.1800, , , , 
105.0000,0.5000,1.0000,0.9900,247.2758,75.0000,0.0583,100.5273,1.1859, , , , 
106.0000,0.5000,1.0000,0.9908,247.1726,75.0000,0.0621,101.8334,1.1917, , , , 
107.0000,0.5000,1.0000,0.9915,247.0454,75.0000,0.0684,104.0285,1.2015, , , , 
108.0000,0.5000,1.0000,0.9923,246.9183,75.0000,0.0748,106.2359,1.2113, , , , 
109.0000,0.5000,1.0000,0.9931,246.7753,75.0000,0.0861,110.1846,1.2287, , , , 
110.0000,0.5000,1.0000,0.9939,246.6323,75.0000,0.0973,114.1745,1.2464, , , , 
111.0000,0.5000,1.0000,0.9947,246.4931,75.0000,0.1197,122.2621,1.2818, , , , 
112.0000,0.5000,1.0000,0.9956,246.3538,75.0000,0.1421,130.5262,1.3181, , , , 
113.0000,0.5000,1.0000,0.9964,248.1414,75.0000,0.1933,150.5486,1.4033, , , , 
114.0000,0.5000,1.0000,0.9973,249.9291,75.0000,0.2445,171.8307,1.4930, , , , 
115.0000,0.5000,1.0000,0.9982,253.5189,75.0000,0.4102,249.0946,1.8173, , , , 
116.0000,0.5000,1.0000,0.9991,257.1088,75.0000,0.5758,341.8999,2.2005, , , , 
